bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
-6.6,1.6217357,0.65673893,25.995902,-0.00022131494,-0.81400989,0.00022695194,0.4049605139,fitted scale,rms
-6.55,1.6217474,0.65674364,25.995691,-0.00023267761,-0.81388306,0.00023860394,0.4049605139,fitted scale,rms
-6.5,1.6217596,0.6567486,25.995469,-0.00024462446,-0.8137498,0.00025085499,0.4049605139,fitted scale,rms
-6.45,1.6217724,0.6567538,25.995236,-0.00025718562,-0.81360978,0.00026373598,0.4049605139,fitted scale,rms
-6.4,1.621786,0.65675928,25.994991,-0.00027039275,-0.81346266,0.00027727937,0.4049605139,fitted scale,rms
-6.35,1.6218002,0.65676503,25.994732,-0.00028427918,-0.81330809,0.00029151935,0.4049605139,fitted scale,rms
-6.3,1.6218151,0.65677108,25.994461,-0.00029887995,-0.81314571,0.00030649184,0.4049605139,fitted scale,rms
-6.25,1.6218308,0.65677744,25.994175,-0.00031423192,-0.8129751,0.00032223464,0.4049605139,fitted scale,rms
-6.2,1.6218473,0.65678413,25.993875,-0.00033037388,-0.81279588,0.00033878752,0.4049605139,fitted scale,rms
-6.15,1.6218647,0.65679116,25.993559,-0.00034734662,-0.8126076,0.00035619231,0.4049605139,fitted scale,rms
-6.1,1.621883,0.65679856,25.993226,-0.00036519306,-0.81240982,0.00037449301,0.4049605139,fitted scale,rms
-6.05,1.6219021,0.65680633,25.992877,-0.00038395832,-0.81220207,0.0003937359,0.4049605139,fitted scale,rms
-6,1.6219223,0.6568145,25.992509,-0.00040368992,-0.81198385,0.00041396968,0.4049605139,fitted scale,rms
-5.95,1.6219435,0.65682309,25.992122,-0.00042443781,-0.81175464,0.0004352456,0.4049605139,fitted scale,rms
-5.9,1.6219659,0.65683213,25.991714,-0.00044625456,-0.8115139,0.00045761753,0.4049605139,fitted scale,rms
-5.85,1.6219893,0.65684162,25.991286,-0.00046919548,-0.81126107,0.00048114221,0.4049605139,fitted scale,rms
-5.8,1.622014,0.65685161,25.990835,-0.00049331876,-0.81099555,0.00050587928,0.4049605139,fitted scale,rms
-5.75,1.6220399,0.65686211,25.990361,-0.00051868564,-0.8107167,0.00053189152,0.4049605139,fitted scale,rms
-5.7,1.6220672,0.65687315,25.989862,-0.00054536053,-0.81042389,0.000559245,0.4049605139,fitted scale,rms
-5.65,1.6220958,0.65688476,25.989337,-0.00057341122,-0.81011643,0.00058800922,0.4049605139,fitted scale,rms
-5.6,1.622126,0.65689696,25.988784,-0.00060290906,-0.8097936,0.00061825731,0.4049605139,fitted scale,rms
-5.55,1.6221576,0.65690979,25.988202,-0.00063392912,-0.80945466,0.00065006624,0.4049605139,fitted scale,rms
-5.5,1.622191,0.65692329,25.98759,-0.00066655038,-0.80909882,0.00068351699,0.4049605139,fitted scale,rms
-5.45,1.622226,0.65693747,25.986946,-0.00070085599,-0.80872527,0.00071869482,0.4049605139,fitted scale,rms
-5.4,1.6222628,0.65695239,25.986268,-0.00073693343,-0.80833315,0.0007556894,0.4049605139,fitted scale,rms
-5.35,1.6223016,0.65696808,25.985554,-0.00077487481,-0.80792156,0.00079459514,0.4049605139,fitted scale,rms
-5.3,1.6223423,0.65698457,25.984802,-0.00081477702,-0.80748957,0.00083551141,0.4049605139,fitted scale,rms
-5.25,1.6223851,0.65700191,25.984011,-0.00085674209,-0.80703622,0.00087854276,0.4049605139,fitted scale,rms
-5.2,1.6224301,0.65702015,25.983178,-0.00090087738,-0.80656047,0.00092379927,0.4049605139,fitted scale,rms
-5.15,1.6224775,0.65703932,25.982301,-0.00094729591,-0.80606126,0.00097139679,0.4049605139,fitted scale,rms
-5.1,1.6225273,0.65705948,25.981378,-0.00099611664,-0.80553748,0.0010214573,0.4049605139,fitted scale,rms
-5.05,1.6225796,0.65708069,25.980405,-0.0010474648,-0.80498798,0.001074109,0.4049605139,fitted scale,rms
-5,1.6226347,0.65710298,25.979381,-0.0011014722,-0.80441154,0.0011294873,0.4049605139,fitted scale,rms
-4.95,1.6226926,0.65712643,25.978302,-0.0011582777,-0.80380691,0.0011877342,0.4049605139,fitted scale,rms
-4.9,1.6227535,0.65715108,25.977166,-0.0012180274,-0.80317277,0.0012489995,0.4049605139,fitted scale,rms
-4.85,1.6228175,0.65717701,25.975969,-0.001280875,-0.80250776,0.0013134409,0.4049605139,fitted scale,rms
-4.8,1.6228848,0.65720427,25.974707,-0.0013469825,-0.80181044,0.0013812244,0.4049605139,fitted scale,rms
