baseline,model,temperature_index,temperature,n_seeds,ess_contacts_min,ess_contacts_median,ess_contacts_total,tau_contacts_max,ess_rg_min,ess_rg_median,tau_rg_max,drift_contacts_max,seed_mean_contacts_std,seed_mean_rg_std,rhat_contacts,rhat_rg
final_joint_baseline_44mer,hs,25,309.364,10,1204.1944442961174,1432.0643195943953,14094.018959121302,1.2456460060125827,1230.7292015325065,1370.8681748107183,1.2187896396154385,0.09515980790388918,0.13206839978670984,0.005507368822187251,1.0000341944713664,0.9999873728820572
final_joint_baseline_44mer,hs,26,310.6,10,807.8119374461162,1500.0,13524.730554605907,1.8568678308248634,829.1174697657764,1405.2097328562932,1.809152568481938,0.11104369629070848,0.10698637504114451,0.008686668775453668,0.999909406572768,0.9998863901434873
final_joint_baseline_44mer,hs,27,311.842,10,1047.4693472872793,1332.0037243830807,12956.453551674369,1.4320228118223008,1174.0040249574201,1403.7038256330122,1.2776787541715655,0.1116468068833909,0.11713437677395214,0.0076315087242474775,1.0000997061890746,1.0002298890271375
final_joint_baseline_44mer,hs,28,313.088,10,1301.8512513725966,1428.705640523786,14113.70216818224,1.1522053678701671,1207.3904928551276,1415.0846859395917,1.2423486923877758,0.11018447361331597,0.11859443494532107,0.00960535800724138,0.9999585035729467,1.0000078683780287
final_joint_baseline_44mer,hs,29,314.34,10,1150.8430362492338,1428.3235092748541,13937.20629645851,1.3033923417468989,1353.2076184770824,1457.1364986152776,1.1084773537471801,0.06298673362830087,0.1146663759686239,0.008590964905559008,0.9997971794929538,1.0000079321383322
final_joint_baseline_44mer,hs,30,315.596,10,1209.3651961764294,1463.7558642197441,14260.296898267792,1.2403201322003077,1099.6573912248589,1445.4030963404496,1.364061217584522,0.09818270733626382,0.1299413371914847,0.009324190790441701,0.9999075221363845,0.999957066637053
final_joint_baseline_44mer,hs,31,316.858,10,1222.0570574442386,1409.7546786616992,14060.325253914569,1.2274385969645643,1339.8340095671456,1431.0341051605856,1.119541666571517,0.10358276656464634,0.1477891741637389,0.005830174801334434,1.0002778681920683,0.9998994626775858
final_joint_baseline_44mer,hs,32,318.124,10,1113.2760779385035,1398.1066665737394,13606.054527102953,1.3473746806610705,1103.6384304142255,1413.7132095647003,1.3591407825813109,0.10112127097358627,0.047432009819904856,0.00552595868270799,0.9998439183668673,0.9999381483727048
final_joint_baseline_44mer,hs,33,319.396,10,985.3689392923671,1387.1079543940195,13394.871835522421,1.5222724607873372,1187.5017195070427,1371.2485432714761,1.2631560656793677,0.10316589539739217,0.12141213558234881,0.005908617230592599,0.9999051635132505,0.9997662904508069
final_joint_baseline_44mer,hs,34,320.672,10,1069.2555143796371,1369.7220822826187,13720.607003593257,1.4028452318717037,1284.9556488165485,1499.7088648472693,1.1673554658337886,0.10888404396302152,0.14253520422844468,0.01044973860386061,1.0000158438094948,1.0003178699962
final_joint_baseline_44mer,hs,35,321.954,10,915.1100355686287,1416.1498925521619,13681.134755210547,1.6391471426361681,1028.0979629383864,1387.7954986290988,1.459004933452917,0.07819570243296128,0.08255500523220191,0.010063928990482444,0.9996179996772218,1.0001713681066138
final_joint_baseline_44mer,hs,36,323.241,10,1251.2068638206504,1466.9894147617492,14450.398909236214,1.198842528260788,1277.5341110153447,1412.912146351217,1.1741369463769904,0.08550625904583391,0.1447442034916921,0.00952855985046988,1.000019964810232,0.9999478229587396
final_joint_baseline_44mer,hs,37,324.533,10,1256.56881528688,1473.3719445974739,14447.288126119753,1.193726902778137,1173.5462145745303,1400.101505410496,1.2781771875458912,0.1303768738883903,0.16143584897207075,0.008181585065617633,1.0002483257540542,1.0000899347499528
final_joint_baseline_44mer,hs,38,325.83,10,1217.275364709241,1424.145834317172,14110.66322247809,1.2322602128387694,1020.5656128875517,1381.3216222329693,1.4697732130675596,0.10507663209222473,0.0900995992098623,0.007228584261393239,0.9997537553546725,1.0000928343320212
final_joint_baseline_44mer,hs,39,327.132,10,1388.3613493080243,1436.3768146346222,14347.613669364782,1.0804103706485475,1239.462911588998,1420.9275423268696,1.2102016010119998,0.11395558201396695,0.10189862064271946,0.003575668586234308,0.9998502691933223,0.999647837399734
final_joint_baseline_44mer,hs,40,328.44,10,1262.9640063179193,1433.1007303675465,14233.775098120215,1.1876823032931414,1288.3561699964425,1452.4294249033064,1.1642743170967558,0.1782658254208091,0.11311854155904096,0.006001844835372878,1.0003311018027072,1.0000020166607593
final_joint_baseline_44mer,hs,41,329.753,10,1342.1571030179207,1449.4047109498892,14302.276460153595,1.1176038905036974,1290.3199355145678,1447.9761342382324,1.1625023831022294,0.0682432348632275,0.17155266117305082,0.007239906389698355,1.0000519112556647,1.0000041012409817
final_joint_baseline_44mer,hs,42,331.071,10,1283.2814105425962,1444.4878684612681,14281.559137228523,1.1688784608558858,1149.3150799806426,1469.7522454039072,1.3051251359420637,0.11595972715694881,0.11388383945445839,0.007755045746488065,0.9999572250805314,0.9997831429657887
