rg_weight,temp_index,temperature,in_validation,contact_loss,rg_loss,b_T,pred_mean_contacts,pred_mean_rg
0.5,15,297.266,1,0.04972711541,0.0123436897,-0.1773951399,10.75331003,1.647541127
0.5,16,298.454,0,0.04997788165,0.01040501716,-0.1818210536,10.84920576,1.643416551
0.5,17,299.647,0,0.05019990937,0.01102336456,-0.1862302785,10.94609845,1.639260273
0.5,18,300.845,1,0.05320246031,0.01065728491,-0.1906227932,11.04399578,1.635072212
0.5,19,302.047,0,0.05451007441,0.01122392815,-0.1949949556,11.1428226,1.630855817
0.5,20,303.254,0,0.05625620089,0.0114242869,-0.1993504289,11.2426673,1.626607552
0.5,21,304.467,1,0.05556175453,0.01051947549,-0.2036927624,11.34361987,1.622323852
0.5,22,305.683,0,0.05774017808,0.01088640904,-0.2080112453,11.4454359,1.61801532
0.5,23,306.905,0,0.05649747116,0.0101479998,-0.2123165619,11.54837138,1.613671357
0.5,24,308.132,1,0.05283084194,0.01089091203,-0.2166051362,11.65234786,1.609295536
0.5,25,309.364,0,0.0537566696,0.0107273724,-0.2208769594,11.7573698,1.604887913
0.5,26,310.6,0,0.05022363989,0.01167534374,-0.2251285985,11.86335508,1.600452164
0.5,27,311.842,1,0.05125193617,0.01140495464,-0.2293669276,11.97047844,1.595981218
0.5,28,313.088,0,0.0548611437,0.01213890448,-0.2335851178,12.07856998,1.591482405
0.5,29,314.34,0,0.05324419509,0.01156058767,-0.2377899377,12.18780509,1.586948665
0.5,30,315.596,1,0.05474218466,0.01184252194,-0.2419746696,12.29801043,1.582387425
0.5,31,316.858,0,0.05484197563,0.01152086443,-0.2461459783,12.40936189,1.577791639
0.5,32,318.124,0,0.05621470417,0.011156254,-0.2502972556,12.52168259,1.573168835
0.5,33,319.396,1,0.05914267106,0.01122781043,-0.2544350637,12.6351487,1.568511986
0.5,34,320.672,0,0.0607549887,0.01089489128,-0.2585529021,12.74957971,1.563828722
0.5,35,321.954,0,0.05901577722,0.01101550339,-0.2626572324,12.86515193,1.559112043
0.5,36,323.241,1,0.0614842208,0.01081519137,-0.2667448233,12.98177193,1.554365989
0.5,37,324.533,0,0.0583761811,0.01053578141,-0.270815685,13.09943473,1.549590968
0.5,38,325.83,0,0.06098212535,0.01060856542,-0.2748698291,13.21813435,1.544787424
0.5,39,327.132,1,0.06247195666,0.01202517346,-0.2789072687,13.33786376,1.539955835
0.5,40,328.44,0,0.06038562621,0.01196082866,-0.2829310819,13.45870744,1.535092995
0.5,41,329.753,0,0.06355760802,0.01338825167,-0.2869381716,13.58056442,1.530203166
0.5,42,331.071,1,0.06091214118,0.01414047653,-0.2909285553,13.70342431,1.525286937
0.5,43,332.394,0,0.06404146331,0.01441438718,-0.2949022516,13.82727556,1.520344937
0.5,44,333.723,0,0.06369792304,0.01537051767,-0.2988622482,13.95219963,1.51537409
0.5,45,335.057,1,0.06333124308,0.01497589879,-0.3028055511,14.07808913,1.510378835
0.5,46,336.396,0,0.06440734233,0.01542206218,-0.3067321831,14.20492882,1.505359918
0.5,47,337.741,0,0.0652978903,0.01619431176,-0.3106450657,14.33279749,1.50031437
0.5,48,339.091,1,0.06339410772,0.01637078184,-0.3145412802,14.46158279,1.495246762
0.5,49,340.446,0,0.06409750944,0.01595200748,-0.3184208533,14.59126567,1.490157958
0.5,50,341.807,0,0.06759276524,0.01768207985,-0.3222866417,14.7219219,1.485045102
0.5,51,343.173,1,0.0640784868,0.01655879496,-0.3261358001,14.85343424,1.479912893
0.5,52,344.545,0,0.0661365204,0.01717072189,-0.3299711429,14.98587633,1.474758553
0.5,53,345.922,0,0.06337029845,0.01703327627,-0.3337898729,15.11912766,1.469586859
0.5,54,347.305,1,0.06574727407,0.01790402913,-0.3375947628,15.25325964,1.464395115
0.5,55,348.693,0,0.06684989158,0.01825574785,-0.3413830627,15.3881486,1.459188173
0.5,56,350.086,0,0.06948475602,0.01819248948,-0.3451548073,15.52376624,1.453967162
0.5,57,351.486,1,0.06743625289,0.01836656858,-0.3489153836,15.66027812,1.448725764
0.5,58,352.891,0,0.06705131709,0.01866440648,-0.3526593924,15.79745874,1.44347268
0.5,59,354.301,0,0.06759880741,0.02003590499,-0.3563868721,15.93527591,1.438209145
0.5,60,355.717,1,0.06746274215,0.01965603668,-0.3601004745,16.07379411,1.432932701
0.5,61,357.139,0,0.06678855367,0.02059582269,-0.3638001773,16.21297889,1.427644665
0.5,62,358.567,0,0.06399468679,0.0214758316,-0.3674859602,16.35279456,1.422346389
0.5,63,360,1,0.06555222352,0.02269472641,-0.3711552542,16.49310624,1.417042951
1,0,280,1,0.04408812044,0.01145903811,-0.1121223409,9.48273351,1.70327479
1,1,281.119,0,0.04126643012,0.01137140921,-0.1166705124,9.563307643,1.699678282
1,2,282.243,0,0.04395155222,0.01209141832,-0.1212027003,9.64469104,1.696054456
1,3,283.371,1,0.04514546776,0.01128338372,-0.1257148707,9.726819676,1.692406357
1,4,284.504,0,0.0449544431,0.01102273485,-0.1302110239,9.80977469,1.688730577
1,5,285.641,0,0.04350212985,0.01034640231,-0.1346871933,9.893491123,1.685030194
1,6,286.783,1,0.04570624418,0.01047954279,-0.1391473194,9.97805078,1.681301792
1,7,287.929,0,0.04670911053,0.0104667271,-0.1435875014,10.06338769,1.677548478
1,8,289.08,0,0.04986029687,0.01031853594,-0.1480116209,10.14958429,1.673766832
1,9,290.235,1,0.04919560108,0.0101583684,-0.1524158421,10.23657351,1.669959998
1,10,291.395,0,0.04764518806,0.01061597786,-0.1568039883,10.32443836,1.666124549
1,11,292.56,0,0.04847193895,0.01060356842,-0.1611760256,10.41318699,1.662260346
1,12,293.729,1,0.04799052057,0.01055189351,-0.1655282142,10.50275055,1.658370594
1,13,294.903,0,0.04733530314,0.01107746834,-0.1698642919,10.59321278,1.654451864
